name,locality,cuisines,cost,highlights,aggregate_rating,rating_text,votes,type
The Swings Cafe,Jakhan,"Continental, Chinese, Thai, Mexican",600,"Credit Card, Lunch, No Alcohol Available, Takeaway Available, Cash, Debit Card, Dinner, Delivery, Live Music, Outdoor Seating, Available for Functions, Wifi, Karaoke, Indoor Seating, Air Conditioned, Smoking Area",4.5,Excellent,136,Casual Dining
TBistro,Karanpur,"North Indian, Chinese",550,"Cash, Lunch, Serves Alcohol, Breakfast, Dinner, Outdoor Seating, Smoking Area",4,Very Good,432,Quick Bites
Subway,Race Course,"Fast Food, Healthy Food, Sandwich, Salad",500,"Takeaway Available, Lunch, Delivery, Dinner, Cash, Credit Card, Air Conditioned, Indoor Seating",4.1,Very Good,223,Quick Bites
Just Cafe,Race Course,"Cafe, Fast Food",500,"Delivery, Dinner, Lunch, Cash, No Alcohol Available, Takeaway Available, Desserts and Bakes, Free Parking, City View, Table Reservation Not Required, Indoor Seating, Air Conditioned, Digital Payments Accepted",4,Very Good,207,Cafe
Pizza Hut,Hathibarkala Salwala,Pizza,600,"Lunch, Credit Card, Dinner, Delivery, Indoor Seating, Air Conditioned, Table Reservation Not Required",3.6,Good,156,Casual Dining
BakeMasters,Chukkuwala,"Fast Food, Desserts, Bakery",200,"Credit Card, Takeaway Available, Delivery, No Alcohol Available, Cash, Debit Card, Indoor Seating, Free Parking, Digital Payments Accepted, Pre-Ordering Required, Air Conditioned, Desserts and Bakes",4.3,Very Good,158,Bakery
Patio Terrace,Karanpur,"North Indian, Italian, Continental, Chinese",900,"Takeaway Available, Credit Card, Lunch, Delivery, Cash, Debit Card, Breakfast, Dinner, Brunch, Kid Friendly, Free Parking, Indoor Seating, Digital Payments Accepted, Air Conditioned, Outdoor Seating, Rooftop",4.1,Very Good,167,Cafe
Five Star Janta,Ballupur,"Fast Food, Mithai, Bakery",200,"No Alcohol Available, Dinner, Cash, Takeaway Available, Credit Card, Lunch, Debit Card, Free Parking, Desserts and Bakes, Indoor Seating, Table booking recommended, Wheelchair Accessible, Pure Veg",4,Very Good,147,Quick Bites
CnD Bakers & Restaurant,Paltan Bazaar,Fast Food,250,"Lunch, Cash, Credit Card, Debit Card, No Alcohol Available, Takeaway Available, Breakfast, Indoor Seating, Air Conditioned",3.6,Good,186,Quick Bites
Cafe Cibo,Race Course,"Cafe, Italian, Desserts",800,"Lunch, Dinner, Takeaway Available, No Alcohol Available, Debit Card, Cash, Credit Card, Desserts and Bakes, Outdoor Seating, Table Reservation Not Required, Free Wifi",3.9,Good,172,Cafe
Pizza Live,Prem Nagar,"Pizza, Sandwich, Beverages",150,"Dinner, Cash, Debit Card, Lunch, Takeaway Available, Credit Card, Indoor Seating, Pure Veg, Digital Payments Accepted",4,Very Good,100,Quick Bites
Best Buddys Restro Cafe,Karanpur,"Asian, North Indian, Street Food, Indian, Continental, Italian, Chinese",1200,"No Alcohol Available, Dinner, Delivery, Credit Card, Debit Card, Lunch, Cash, Takeaway Available, Live Sports Screening, Table booking recommended, Kid Friendly, Indoor Seating, Free Wifi, Air Conditioned, All Day Breakfast, Desserts and Bakes",4.3,Very Good,215,Casual Dining
Old Elloras Bakers and Confectioners,Chukkuwala,"Desserts, Bakery",250,"Takeaway Available, No Seating Available, Cash, Desserts and Bakes, Pre-Ordering Required, Digital Payments Accepted, Air Conditioned",4,Very Good,165,Bakery
Crave More,"Vikas Cinemall, Indira Nagar","Cafe, Continental, North Indian, Chinese",400,"Delivery, Lunch, Takeaway Available, Mall Parking, No Alcohol Available, Cash, Dinner, Outdoor Seating, Indoor Seating, Air Conditioned, Digital Payments Accepted",4,Very Good,171,Cafe
Gulab Sweets & Restaurants,Jakhan,"Mithai, Fast Food, North Indian",200,"Credit Card, Delivery, Takeaway Available, Lunch, Breakfast, Debit Card, Dinner, No Alcohol Available, Cash, Air Conditioned, Indoor Seating, Table booking recommended, Desserts and Bakes",3.5,Good,110,Sweet Shop
Cafe Marigold,Rajpur,"Cafe, Chinese, Fast Food",500,"Credit Card, Debit Card, Takeaway Available, Lunch, Cash, Dinner, No Alcohol Available, Breakfast, Outdoor Seating, Smoking Area, Table Reservation Not Required",4.2,Very Good,219,Cafe
Aura Kitchen And Spirits,Kaonli,"North Indian, Continental, Thai",800,"Credit Card, Cash, Takeaway Available, Debit Card, Lunch, Dinner, Serves Alcohol, Wheelchair Accessible, Table Reservation Not Required, Air Conditioned, Axis Bank - Dining Delights, Smoking Area, Rooftop, Live Sports Screening, Indoor Seating",4.2,Very Good,206,Casual Dining
Grille Restaurant,Jakhan,"North Indian, Chinese",1400,"Takeaway Available, Dinner, Cash, Debit Card, Credit Card, Serves Alcohol, Lunch, Smoking Area, Indoor Seating, Live Sports Screening, Rooftop, Fullbar, Air Conditioned, Buffet, Luxury Dining, Live Music, Above 18 Only, Nightlife",4,Very Good,234,Fine Dining
Burger Singh - Big Punjabi Burgers,Balliwala,"Fast Food, Burger",300,"Lunch, Delivery, No Alcohol Available, Dinner, Cash, Takeaway Available, Indoor Seating, Digital Payments Accepted",3.9,Good,191,Quick Bites
